"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"07/12/2020","48","PM2.5","West Johnston Co.","37-101-0002","AQS","3","45","15","48","17"
"07/13/2020","64","Ozone","Millbrook School","37-183-0014","AQS","3","64","14","37","13"
"07/14/2020","67","Ozone","Millbrook School","37-183-0014","AQS","3","67","19","51","13"
"07/15/2020","56","PM2.5","Millbrook School","37-183-0014","AQS","3","50","19","56","10"
"07/16/2020","50","PM2.5","Millbrook School","37-183-0014","AQS","3","49","18","50","15"
"07/17/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","5","43","19","52","14"
"07/18/2020","42","Ozone","West Johnston Co.","37-101-0002","AQS","3","42","15","40","8"
"07/19/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","5","41","19","53","8"
"07/20/2020","56","PM2.5","Millbrook School","37-183-0014","AQS","5","47","21","56","11"
"07/21/2020","45","PM2.5","Millbrook School","37-183-0014","AQS","3","35","19","45","12"
"07/22/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","3","34","16","35","17"
"07/23/2020","69","NO2","Triple Oak","37-183-0021","AQS","3","31","15","31","69"
"07/24/2020","34","Ozone","Millbrook School","37-183-0014","AQS","3","34","10","23","12"
"07/25/2020","41","Ozone","Millbrook School","37-183-0014","AQS","3","41","13","34","7"
"07/26/2020","40","Ozone","Millbrook School","37-183-0014","AQS","3","40","13","35","7"
"07/27/2020","42","Ozone","Millbrook School","37-183-0014","AQS","3","42","14","36","9"
"07/28/2020","40","Ozone","Millbrook School","37-183-0014","AQS","3","40","14","35","11"
"07/29/2020","42","Ozone","Millbrook School","37-183-0014","AQS","3","42","10","26","15"
"07/30/2020","37","PM2.5","Millbrook School","37-183-0014","AQS","3","31","15","37","11"
"07/31/2020","44","PM2.5","Millbrook School","37-183-0014","AQS","3","30","19","44","11"
"08/01/2020","25","PM2.5","Triple Oak","37-183-0021","AQS","3",".","9","25","8"
"08/02/2020","2","CO","Triple Oak","37-183-0021","AQS","2",".",".",".","."
"08/04/2020","27","Ozone","Millbrook School","37-183-0014","AQS","3","27",".",".","."
"08/05/2020","32","Ozone","Millbrook School","37-183-0014","AQS","5","32","11","30","18"
"08/06/2020","29","Ozone","Millbrook School","37-183-0014","AQS","3","29","12","25","11"
"08/07/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","3","32","14","33","13"
"08/08/2020","38","Ozone","Millbrook School","37-183-0014","AQS","3","38","12","32","8"
"08/09/2020","40","PM2.5","Millbrook School","37-183-0014","AQS","3","39","17","40","7"
"08/10/2020","48","PM2.5","Millbrook School","37-183-0014","AQS","5","38","19","48","13"
"08/11/2020","47","PM2.5","Millbrook School","37-183-0014","AQS","5","44","18","47","13"
"08/12/2020","44","PM2.5","Millbrook School","37-183-0014","AQS","3","39","18","44","12"
"08/13/2020","35","Ozone","West Johnston Co.","37-101-0002","AQS","2","35","13","29","9"
"08/14/2020","33","Ozone","Millbrook School","37-183-0014","AQS","3","33","11","25","11"
"08/15/2020","28","PM2.5","Millbrook School","37-183-0014","AQS","3","27","11","28","8"
"08/16/2020","21","Ozone","West Johnston Co.","37-101-0002","AQS","2","21","9","20","2"
"08/17/2020","37","Ozone","Millbrook School","37-183-0014","AQS","5","37","12","29","11"
"08/18/2020","46","Ozone","West Johnston Co.","37-101-0002","AQS","5","46","18","40","13"
"08/19/2020","51","PM2.5","Millbrook School","37-183-0014","AQS","6","36","20","51","8"
"08/20/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","3","35","16","42","3"
"08/21/2020","32","Ozone","Millbrook School","37-183-0014","AQS","3","32","12","30","12"
"08/22/2020","34","PM2.5","Millbrook School","37-183-0014","AQS","5","31","13","34","8"
"08/23/2020","38","PM2.5","Millbrook School","37-183-0014","AQS","3","26","16","38","5"
"08/24/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","3","22","22","42","8"
"08/25/2020","44","Ozone","Millbrook School","37-183-0014","AQS","3","44","15","29","10"
"08/26/2020","42","Ozone","Millbrook School","37-183-0014","AQS","3","42","18","41","11"
"08/27/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","5","36","24","53","18"
"08/28/2020","57","PM2.5","West Johnston Co.","37-101-0002","AQS","5","23","30","57","8"
"08/29/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","3","19","14","30","6"
"08/30/2020","43","PM2.5","Millbrook School","37-183-0014","AQS","3","40","16","43","7"
"08/31/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","3","34","15","36","10"
"09/01/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","3","29","15","35","6"
"09/02/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","5","38","21","52","11"
"09/03/2020","64","PM2.5","Millbrook School","37-183-0014","AQS","5","38","43","64","12"
"09/04/2020","48","PM2.5","Millbrook School","37-183-0014","AQS","5","45","22","48","22"
"09/05/2020","36","PM2.5","West Johnston Co.","37-101-0002","AQS","5","36","14","36","6"
"09/06/2020","37","Ozone","West Johnston Co.","37-101-0002","AQS","2","37","10","32","5"
"09/07/2020","39","Ozone","West Johnston Co.","37-101-0002","AQS","2","39","11","35","6"
"09/08/2020","31","Ozone","Millbrook School","37-183-0014","AQS","2","31","12","24","9"
"09/09/2020","22","PM2.5","Millbrook School","37-183-0014","AQS","2","19","10","22","4"
"09/10/2020","25","Ozone","Millbrook School","37-183-0014","AQS","3","25","10","21","8"
"09/11/2020","22","Ozone","West Johnston Co.","37-101-0002","AQS","3","22","9","20","8"
"09/12/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","2","27","13","30","5"
"09/13/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","3","28","15","33","8"
"09/14/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","3","31","15","33","9"
"09/15/2020","31","Ozone","West Johnston Co.","37-101-0002","AQS","2","31","12","23","5"
"09/16/2020","30","Ozone","West Johnston Co.","37-101-0002","AQS","2","30","13","24","6"
"09/17/2020","27","Ozone","Millbrook School","37-183-0014","AQS","3","27","6","14","11"
"09/18/2020","33","Ozone","Millbrook School","37-183-0014","AQS","2","33","12","32","4"
"09/19/2020","28","PM2.5","Millbrook School","37-183-0014","AQS","2","28","12","28","2"
"09/20/2020","35","Ozone","West Johnston Co.","37-101-0002","AQS","2","35","8","16","2"
"09/21/2020","31","Ozone","West Johnston Co.","37-101-0002","AQS","2","31","10","20","7"
"09/22/2020","43","Ozone","West Johnston Co.","37-101-0002","AQS","5","43","12","26","23"
"09/23/2020","35","Ozone","Millbrook School","37-183-0014","AQS","6","35","16","34","17"
"09/24/2020","52","PM2.5","Triple Oak","37-183-0021","AQS","6","28","16","52","15"
"09/25/2020","39","PM2.5","Millbrook School","37-183-0014","AQS","5","25","14","39","13"
"09/26/2020","24","PM2.5","Millbrook School","37-183-0014","AQS","3","18","10","24","6"
"09/27/2020","29","PM2.5","Millbrook School","37-183-0014","AQS","6","28","11","29","11"
"09/28/2020","34","PM2.5","Millbrook School","37-183-0014","AQS","5","31","12","34","10"
"09/29/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","3","25","13","30","12"
"09/30/2020","31","Ozone","West Johnston Co.","37-101-0002","AQS","3","31","11","25","18"
"10/01/2020","36","PM2.5","Millbrook School","37-183-0014","AQS","5","36","17","36","20"
"10/02/2020","34","Ozone","West Johnston Co.","37-101-0002","AQS","5","34","12","23","8"
"10/03/2020","31","PM2.5","Millbrook School","37-183-0014","AQS","3","31","11","31","9"
"10/04/2020","29","Ozone","West Johnston Co.","37-101-0002","AQS","5","29","9","27","15"
"10/05/2020","36","Ozone","West Johnston Co.","37-101-0002","AQS","7","36","13","34","16"
"10/06/2020","47","PM2.5","Millbrook School","37-183-0014","AQS","6","41","18","47","18"
"10/07/2020","71","PM2.5","Millbrook School","37-183-0014","AQS","6","43","30","71","18"
"10/08/2020","55","PM2.5","Millbrook School","37-183-0014","AQS","6","51","26","55","20"
"10/09/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","5","32","17","35","20"
"10/10/2020","43","PM2.5","Millbrook School","37-183-0014","AQS","3","26","18","43","8"
"10/11/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","3","29","14","30","8"
"10/12/2020","27","PM2.5","Millbrook School","37-183-0014","AQS","2","19","11","27","8"
"10/13/2020","29","Ozone","Millbrook School","37-183-0014","AQS","5","29","13","23","9"
"10/14/2020","39","Ozone","West Johnston Co.","37-101-0002","AQS","6","39","15","33","18"
"10/15/2020","45","PM2.5","Millbrook School","37-183-0014","AQS","6","40","19","45","19"
"10/16/2020","32","Ozone","West Johnston Co.","37-101-0002","AQS","3","32","10","28","15"
"10/17/2020","33","Ozone","West Johnston Co.","37-101-0002","AQS","2","33","12","32","5"
"10/18/2020","34","PM2.5","Millbrook School","37-183-0014","AQS","3","34","13","34","6"
"10/19/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","5","32","14","33","13"
"10/20/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","5","33","20","42","18"
"10/21/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","6","28","15","35","14"
"10/22/2020","35","PM2.5","Millbrook School","37-183-0014","AQS","5","33","16","35","8"
"10/23/2020","50","PM2.5","West Johnston Co.","37-101-0002","AQS","5","33","17","50","12"
"10/24/2020","44","PM2.5","Millbrook School","37-183-0014","AQS","6","31","17","44","17"
"10/25/2020","25","PM2.5","Millbrook School","37-183-0014","AQS","7","11","9","25","5"
"10/26/2020","28","PM2.5","Millbrook School","37-183-0014","AQS","5","18","10","28","11"
"10/27/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","6","27","16","42","16"
"10/28/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","6","27","18","52","14"
"10/29/2020","33","PM2.5","Triple Oak","37-183-0021","AQS","5","21","13","33","7"
"10/30/2020","31","Ozone","West Johnston Co.","37-101-0002","AQS","2","31","7","20","8"
"10/31/2020","32","PM2.5","Millbrook School","37-183-0014","AQS","3","28","10","32","5"
"11/01/2020","32","PM2.5","Millbrook School","37-183-0014","AQS","5","30","11","32","8"
"11/02/2020","31","Ozone","Millbrook School","37-183-0014","AQS","5","31","10","20","21"
"11/03/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","8","33","15","33","25"
"11/04/2020","54","PM2.5","Millbrook School","37-183-0014","AQS","9","35","20","54","27"
"11/05/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","9","37","20","53","25"
"11/06/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","7","29","19","53","19"
"11/07/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","5","27","14","42","11"
"11/08/2020","34","PM2.5","Millbrook School","37-183-0014","AQS","5","28","11","34","6"
"11/09/2020","30","Ozone","Millbrook School","37-183-0014","AQS","3","30","11","28","12"
"11/10/2020","28","PM2.5","Millbrook School","37-183-0014","AQS","3","27","13","28","13"
"11/11/2020","25","PM2.5","Millbrook School","37-183-0014","AQS","3","17","13","25","12"
"11/12/2020","24","Ozone","Millbrook School","37-183-0014","AQS","2","24","7","13","13"
"11/13/2020","44","PM2.5","Millbrook School","37-183-0014","AQS","8","18","14","44","16"
"11/14/2020","56","PM2.5","Millbrook School","37-183-0014","AQS","9","32","19","56","15"
"11/15/2020","45","PM2.5","Millbrook School","37-183-0014","AQS","6","32","15","45","7"
"11/16/2020","33","Ozone","Millbrook School","37-183-0014","AQS","5","33","7","10","25"
"11/17/2020","34","Ozone","Millbrook School","37-183-0014","AQS","5","34","7","23","19"
"11/18/2020","33","Ozone","Millbrook School","37-183-0014","AQS","5","33","11","30","23"
"11/19/2020","48","PM2.5","Millbrook School","37-183-0014","AQS","8","31","16","48","29"
"11/20/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","11","31","19","53","28"
"11/21/2020","68","PM2.5","Millbrook School","37-183-0014","AQS","14","33","27","68","24"
"11/22/2020","70","PM2.5","Millbrook School","37-183-0014","AQS","10","28","25","70","15"
"11/23/2020","31","Ozone","Millbrook School","37-183-0014","AQS","5","31","8","23","11"
"11/24/2020","48","PM2.5","Millbrook School","37-183-0014","AQS","7","29","15","48","21"
"11/25/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","8","29","19","52","18"
"11/26/2020","39","PM2.5","Millbrook School","37-183-0014","AQS","6","23","14","39","10"
"11/27/2020","45","PM2.5","Millbrook School","37-183-0014","AQS","7","21","13","45","11"
"11/28/2020","58","PM2.5","Millbrook School","37-183-0014","AQS","9","31","18","58","20"
"11/29/2020","61","PM2.5","Millbrook School","37-183-0014","AQS","7","31","20","61","13"
"11/30/2020","28","Ozone","Millbrook School","37-183-0014","AQS","3","28","6","15","4"
"12/01/2020","23","Ozone","Millbrook School","37-183-0014","AQS","3","23","4","10","7"
"12/02/2020","34","PM2.5","Millbrook School","37-183-0014","AQS","7","27","11","34","28"
"12/03/2020","41","PM2.5","Millbrook School","37-183-0014","AQS","8","26","15","41","26"
"12/04/2020","43","PM2.5","Millbrook School","37-183-0014","AQS","6","29","17","43","24"
"12/05/2020","32","Ozone","Millbrook School","37-183-0014","AQS","3","32","7","24","12"
"12/06/2020","60","PM2.5","Millbrook School","37-183-0014","AQS","6","28","19","60","20"
"12/07/2020","55","PM2.5","Millbrook School","37-183-0014","AQS","6",".","14","55","17"
"12/08/2020","27","Ozone","Millbrook School","37-183-0014","AQS","3","27","7","25","22"
"12/09/2020","44","PM2.5","Millbrook School","37-183-0014","AQS","6","23","14","44","22"
"12/10/2020","55","PM2.5","Millbrook School","37-183-0014","AQS","8","27","19","55","24"
"12/11/2020","67","PM2.5","Millbrook School","37-183-0014","AQS","11","28","25","67","31"
"12/12/2020","74","PM2.5","Millbrook School","37-183-0014","AQS","14","35","28","74","21"
"12/13/2020","64","PM2.5","Millbrook School","37-183-0014","AQS","8","29","21","64","25"
"12/14/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","8","19","9","33","13"
"12/15/2020","30","PM2.5","Millbrook School","37-183-0014","AQS","2","25","8","30","10"
"12/16/2020","21","Ozone","Millbrook School","37-183-0014","AQS","3","21","6","19","13"
"12/17/2020","21","Ozone","Millbrook School","37-183-0014","AQS","5","21","5","15","10"
"12/18/2020","23","Ozone","Millbrook School","37-183-0014","AQS","5","23","6","22","21"
"12/19/2020","58","PM2.5","Millbrook School","37-183-0014","AQS","7","20","19","58","19"
"12/20/2020","55","PM2.5","Millbrook School","37-183-0014","AQS","6","22","17","55","11"
"12/21/2020","33","PM2.5","Millbrook School","37-183-0014","AQS","6","26","11","33","22"
"12/22/2020","30","Ozone","Millbrook School","37-183-0014","AQS","8","30","12","29","25"
"12/23/2020","38","PM2.5","Millbrook School","37-183-0014","AQS","9","24","12","38","24"
"12/24/2020","31","Ozone","Millbrook School","37-183-0014","AQS","5","31","9","21","10"
"12/25/2020","31","Ozone","Millbrook School","37-183-0014","AQS","2","31","5","13","6"
"12/26/2020","28","Ozone","Millbrook School","37-183-0014","AQS","5","28","7","27","21"
"12/27/2020","61","PM2.5","Millbrook School","37-183-0014","AQS","7","25","18","61","25"
"12/28/2020","56","PM2.5","Millbrook School","37-183-0014","AQS","8","28","17","56","28"
