"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"06/23/2020","40","Ozone","Hendersonville","47-165-0007","AQS","2","40",".","25","17"
"06/24/2020","51","Ozone","Hendersonville","47-165-0007","AQS","3","51",".","33","22"
"06/25/2020","71","Ozone","Percy Priest Dam","47-037-0026","AQS","3","71",".","33","35"
"06/26/2020","56","PM2.5","Near Road Site","47-037-0040","AQS","5","32",".","56","26"
"06/27/2020","121","PM2.5","Hendersonville","47-165-0007","AQS","2","21",".","121","8"
"06/28/2020","56","PM2.5","Near Road Site","47-037-0040","AQS","3","27",".","56","19"
"06/29/2020","35","PM2.5","Near Road Site","47-037-0040","AQS","5","27",".","35","10"
"06/30/2020","30","PM2.5","Near Road Site","47-037-0040","AQS",".","26",".","30","10"
"07/01/2020","31","Ozone","Percy Priest Dam","47-037-0026","AQS","3","31",".","29","10"
"07/02/2020","43","Ozone","Percy Priest Dam","47-037-0026","AQS","3","43",".","32","10"
"07/03/2020","54","Ozone","Fairview","47-187-0106","AQS","3","54",".","41","11"
"07/04/2020","61","PM2.5","Hendersonville","47-165-0007","AQS","3","44",".","61","13"
"07/05/2020","65","PM2.5","Near Road Site","47-037-0040","AQS","5","40",".","65","12"
"07/06/2020","43","PM2.5","Near Road Site","47-037-0040","AQS","3","41",".","43","25"
"07/07/2020","43","PM2.5","Near Road Site","47-037-0040","AQS","5","39",".","43","18"
"07/08/2020","49","Ozone","Percy Priest Dam","47-037-0026","AQS","3","49",".","43","25"
"07/09/2020","58","Ozone","Percy Priest Dam","47-037-0026","AQS","5","58",".","43","25"
"07/10/2020","44","Ozone","Percy Priest Dam","47-037-0026","AQS","5","44",".","37","14"
"07/11/2020","49","Ozone","Hendersonville","47-165-0007","AQS","3","49",".","28","27"
"07/12/2020","50","Ozone","Percy Priest Dam","47-037-0026","AQS","3","50",".","18","11"
"07/13/2020","61","Ozone","Percy Priest Dam","47-037-0026","AQS","2","61",".","21","12"
"07/14/2020","77","Ozone","East Health Center","47-037-0011","AQS","2","77",".","35","29"
"07/15/2020","77","Ozone","Hendersonville","47-165-0007","AQS","5","77",".","39","24"
"07/16/2020","54","PM2.5","Near Road Site","47-037-0040","AQS","3","32",".","54","22"
"07/17/2020","44","Ozone","Hendersonville","47-165-0007","AQS","5","44",".","41","19"
"07/18/2020","40","PM2.5","Near Road Site","47-037-0040","AQS","5","40",".","40","19"
"07/19/2020","45","PM2.5","Hendersonville","47-165-0007","AQS","5","38",".","45","24"
"07/20/2020","44","PM2.5","Near Road Site","47-037-0040","AQS","5","41",".","44","18"
"07/21/2020","47","Ozone","East Health Center","47-037-0011","AQS","3","47",".","38","22"
"07/22/2020","35","Ozone","Hendersonville","47-165-0007","AQS","3","35",".","31","18"
"07/23/2020","36","Ozone","Percy Priest Dam","47-037-0026","AQS","3","36",".","27","20"
"07/24/2020","39","Ozone","Hendersonville","47-165-0007","AQS","3","39",".","22","16"
"07/25/2020","31","Ozone","Hendersonville","47-165-0007","AQS","3","31",".","21","20"
"07/26/2020","35","Ozone","Hendersonville","47-165-0007","AQS","5","35",".","26","20"
"07/27/2020","32","PM2.5","Near Road Site","47-037-0040","AQS","6","31",".","32","23"
"07/28/2020","42","Ozone","Percy Priest Dam","47-037-0026","AQS","2","42",".","23","24"
"07/29/2020","43","Ozone","Hendersonville","47-165-0007","AQS","5","43",".","29","23"
"07/30/2020","38","PM2.5","Near Road Site","47-037-0040","AQS","5","29",".","38","16"
"07/31/2020","45","PM2.5","Columbia","47-119-2007","AQS","3","35",".","45","25"
"08/01/2020","28","Ozone","Hendersonville","47-165-0007","AQS","2","28",".","17","17"
"08/02/2020","40","Ozone","Percy Priest Dam","47-037-0026","AQS","5","40",".","28","27"
"08/03/2020","46","Ozone","Hendersonville","47-165-0007","AQS","6","46",".","39","28"
"08/04/2020","52","PM2.5","Columbia","47-119-2007","AQS","2","37",".","52","8"
"08/05/2020","44","PM2.5","Columbia","47-119-2007","AQS","0","41",".","44","8"
"08/06/2020","44","PM2.5","Columbia","47-119-2007","AQS","1","42",".","44","15"
"08/07/2020","51","PM2.5","Columbia","47-119-2007","AQS","1","50",".","51","17"
"08/08/2020","54","Ozone","Percy Priest Dam","47-037-0026","AQS","1","54",".","46","17"
"08/09/2020","46","Ozone","Hendersonville","47-165-0007","AQS","2","46",".","44","24"
"08/10/2020","48","PM2.5","Lockeland","47-037-0023","AQS","2","44",".","48","22"
"08/11/2020","44","Ozone","Percy Priest Dam","47-037-0026","AQS","2","44",".","35","23"
"08/12/2020","42","PM2.5","Hendersonville","47-165-0007","AQS","2","39",".","42","27"
"08/13/2020","64","Ozone","East Health Center","47-037-0011","AQS","2","64",".","37","15"
"08/14/2020","41","Ozone","Hendersonville","47-165-0007","AQS","2","41",".","24","16"
"08/15/2020","48","PM2.5","Hendersonville","47-165-0007","AQS","1","44",".","48","19"
"08/16/2020","51","PM2.5","Lockeland","47-037-0023","AQS","3","42",".","51","16"
"08/17/2020","43","Ozone","Percy Priest Dam","47-037-0026","AQS","1","43",".","35","30"
"08/18/2020","44","Ozone","Percy Priest Dam","47-037-0026","AQS","5","44",".","43","28"
"08/19/2020","38","PM2.5","Columbia","47-119-2007","AQS","2","35",".","38","5"
"08/20/2020","44","Ozone","Fairview","47-187-0106","AQS","2","44",".","31","11"
"08/21/2020","31","Ozone","Percy Priest Dam","47-037-0026","AQS","3","31",".","29","20"
"08/22/2020","41","Ozone","Hendersonville","47-165-0007","AQS","6","41",".","23","20"
"08/23/2020","41","Ozone","Percy Priest Dam","47-037-0026","AQS","8","41",".","29","25"
"08/24/2020","51","Ozone","Hendersonville","47-165-0007","AQS","6","51",".","35","24"
"08/25/2020","31","PM2.5","Lockeland","47-037-0023","AQS","5","31",".","31","19"
"08/26/2020","33","Ozone","Hendersonville","47-165-0007","AQS","6","33",".","27","23"
"08/27/2020","42","PM2.5","Near Road Site","47-037-0040","AQS","7","28",".","42","18"
"08/28/2020","23","PM2.5","Near Road Site","47-037-0040","AQS","3","20",".","23","11"
"08/29/2020","33","Ozone","Hendersonville","47-165-0007","AQS","5","33",".","32","22"
"08/30/2020","34","Ozone","Hendersonville","47-165-0007","AQS","5","34",".","32","18"
"08/31/2020","31","PM2.5","Near Road Site","47-037-0040","AQS","3","31",".","31","25"
"09/01/2020","32","Ozone","Hendersonville","47-165-0007","AQS","5","32","16","31","20"
"09/02/2020","70","PM2.5","Lockeland","47-037-0023","AQS","3","21","52","70","14"
"09/03/2020","52","PM2.5","Columbia","47-119-2007","AQS","3","30","28","52","17"
"09/04/2020","34","PM2.5","Lockeland","47-037-0023","AQS","3","32","19","34","20"
"09/05/2020","47","Ozone","Fairview","47-187-0106","AQS","5","47","18","40","21"
"09/06/2020","47","PM2.5","Near Road Site","47-037-0040","AQS","9","42","17","47","32"
"09/07/2020","49","Ozone","Hendersonville","47-165-0007","AQS","7","49","19","44","28"
"09/08/2020","71","Ozone","Hendersonville","47-165-0007","AQS","5","71","18","42","25"
"09/09/2020","77","Ozone","Hendersonville","47-165-0007","AQS","5","77","19","52","25"
"09/10/2020","44","Ozone","Hendersonville","47-165-0007","AQS","5","44","17","42","17"
"09/11/2020","43","Ozone","Fairview","47-187-0106","AQS","2","43","13","34","19"
"09/12/2020","32","PM2.5","Lockeland","47-037-0023","AQS","3","26","14","32","11"
"09/13/2020","20","PM2.5","Lockeland","47-037-0023","AQS","3","19","10","20","16"
"09/14/2020","34","Ozone","Fairview","47-187-0106","AQS","2","34","13","33","9"
"09/15/2020","36","Ozone","Fairview","47-187-0106","AQS","2","36","14","35","12"
"09/16/2020","40","Ozone","East Health Center","47-037-0011","AQS","5","40","15","36","19"
"09/17/2020","50","PM2.5","Columbia","47-119-2007","AQS","2","43","14","50","8"
