"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"10/22/2020","30","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","30","12","27","5"
"10/23/2020","32","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","32","17","27","8"
"10/24/2020","33","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","33","12","30","8"
"10/25/2020","23","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","23","5","15","3"
"10/26/2020","18","PM2.5","IRMO","45-063-0008","AQS",".","15","7","18","8"
"10/27/2020","38","PM2.5","IRMO","45-063-0008","AQS",".","34","19","38","8"
"10/28/2020","40","PM2.5","IRMO","45-063-0008","AQS",".","24","16","40","8"
"10/29/2020","22","PM2.5","IRMO","45-063-0008","AQS",".","22","8","22","3"
"10/30/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","31","4","17","2"
"10/31/2020","25","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","25","8","23","2"
"11/01/2020","33","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","33","7","28","3"
"11/02/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS",".","31","7","24","18"
"11/03/2020","56","PM2.5","IRMO","45-063-0008","AQS",".","31","19","56","29"
"11/04/2020","50","PM2.5","IRMO","45-063-0008","AQS",".","39","23","50","12"
"11/05/2020","40","PM2.5","IRMO","45-063-0008","AQS",".","36","17","40","3"
"11/06/2020","32","PM2.5","IRMO","45-063-0008","AQS",".","31","14","32","2"
"11/07/2020","29","Ozone","PARKLANE","45-079-0007","AQS",".","29","11","25","3"
"11/08/2020","28","Ozone","PARKLANE","45-079-0007","AQS",".","28","9","18","1"
"11/09/2020","29","Ozone","PARKLANE","45-079-0007","AQS",".","29","14","24","2"
"11/10/2020","23","PM2.5","IRMO","45-063-0008","AQS",".","23","22","23","3"
"11/11/2020","16","PM2.5","PARKLANE","45-079-0007","AQS",".","16","8","16","3"
"11/12/2020","19","Ozone","PARKLANE","45-079-0007","AQS","0","19","8","16","2"
"11/13/2020","24","Ozone","PARKLANE","45-079-0007","AQS","2","24","8","22","18"
"11/14/2020","38","PM2.5","IRMO","45-063-0008","AQS","3","31","11","38","6"
"11/15/2020","42","PM2.5","IRMO","45-063-0008","AQS","0","29",".","42","4"
"11/16/2020","29","Ozone","PARKLANE","45-079-0007","AQS","0","29",".","23","18"
"11/17/2020","34","Ozone","PARKLANE","45-079-0007","AQS","1","34","6","23","5"
"11/18/2020","31","Ozone","PARKLANE","45-079-0007","AQS","3","31","7","23","10"
"11/19/2020","38","PM2.5","IRMO","45-063-0008","AQS","2","33","11","38","14"
"11/20/2020","36","PM2.5","IRMO","45-063-0008","AQS","2","31","19","36","35"
"11/21/2020","58","PM2.5","IRMO","45-063-0008","AQS","3","35","18","58","11"
"11/22/2020","51","PM2.5","IRMO","45-063-0008","AQS","3","24","12","51","5"
"11/23/2020","28","Ozone","PARKLANE","45-079-0007","AQS","1","28","6","23","8"
"11/24/2020","29","PM2.5","IRMO","45-063-0008","AQS","1","28","16","29","9"
"11/25/2020","32","PM2.5","IRMO","45-063-0008","AQS","0","24","20","32","11"
"11/26/2020","29","PM2.5","IRMO","45-063-0008","AQS","1","24","11","29","4"
"11/27/2020","36","PM2.5","IRMO","45-063-0008","AQS","2","28","12","36","15"
"11/28/2020","44","PM2.5","IRMO","45-063-0008","AQS","3","29","12","44","15"
"11/29/2020","38","PM2.5","IRMO","45-063-0008","AQS","2","19","8","38","5"
"11/30/2020","12","PM2.5","IRMO","45-063-0008","AQS","0",".","5","12","3"
"12/01/2020","26","Ozone","PARKLANE","45-079-0007","AQS","0","26","5","12","6"
"12/02/2020","34","PM2.5","IRMO","45-063-0008","AQS","1","27","9","34","28"
"12/03/2020","54","PM2.5","IRMO","45-063-0008","AQS","3","22","17","54","23"
"12/04/2020","41","PM2.5","IRMO","45-063-0008","AQS","3","28","16","41","11"
"12/05/2020","39","PM2.5","IRMO","45-063-0008","AQS","1","28","7","39","15"
"12/06/2020","62","PM2.5","IRMO","45-063-0008","AQS","2","26","15","62","14"
"12/07/2020","47","PM2.5","IRMO","45-063-0008","AQS","1","19","9","47","8"
"12/08/2020","43","PM2.5","IRMO","45-063-0008","AQS","0","27","8","43","24"
"12/09/2020","53","PM2.5","IRMO","45-063-0008","AQS","1","25","12","53","20"
"12/10/2020","51","PM2.5","IRMO","45-063-0008","AQS","3","31","27","51","20"
"12/11/2020","66","PM2.5","IRMO","45-063-0008","AQS","2","31","26","66","17"
"12/12/2020","68","PM2.5","IRMO","45-063-0008","AQS","2","39","18","68","13"
"12/13/2020","47","PM2.5","IRMO","45-063-0008","AQS","1","32","10","47","13"
"12/14/2020","29","PM2.5","PARKLANE","45-079-0007","AQS","1","23","6","29","."
"12/15/2020","24","Ozone","PARKLANE","45-079-0007","AQS","0","24","6","20","."
"12/16/2020","18","Ozone","PARKLANE","45-079-0007","AQS","0","18","4","14","."
"12/17/2020","25","PM2.5","PARKLANE","45-079-0007","AQS","0","14","8","25","."
"12/18/2020","31","PM2.5","IRMO","45-063-0008","AQS","1","20","9","31","."
"12/19/2020","66","PM2.5","IRMO","45-063-0008","AQS","1","27","15","66","."
"12/20/2020","37","PM2.5","IRMO","45-063-0008","AQS","1","23","8","37","."
"12/21/2020","29","Ozone","PARKLANE","45-079-0007","AQS","0","29","7","26","."
"12/22/2020","29","Ozone","PARKLANE","45-079-0007","AQS","2","29","11","27","."
"12/23/2020","36","PM2.5","IRMO","45-063-0008","AQS","3","28","25","36","."
"12/24/2020","30","PM2.5","IRMO","45-063-0008","AQS","0","26","8","30","."
"12/25/2020","33","Ozone","PARKLANE","45-079-0007","AQS","0","33","4","13","."
"12/26/2020","52","PM2.5","IRMO","45-063-0008","AQS","2","29","7","52","."
"12/27/2020","58","PM2.5","IRMO","45-063-0008","AQS","5","29","13","58","."
"12/28/2020","48","PM2.5","IRMO","45-063-0008","AQS","3","32","13","48","."
"12/29/2020","43","PM2.5","PARKLANE","45-079-0007","AQS","1","31","17","43","."
"12/30/2020","31","PM2.5","IRMO","45-063-0008","AQS","0","21","12","31","."
"12/31/2020","38","PM2.5","IRMO","45-063-0008","AQS","1","6","9","38","."
